Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
8,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,,No attempt,18 April 2014,19:25
9,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,,"No attempt
",14 July 2014,15:15
10,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,Uncontrolled,5 August 2014,08:00
11,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA (CRS),Success,F9 v1.1,Failure ,7 September 2014,05:00
12,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA (CRS),"Success
",F9 v1.1,Controlled,21 September 2014,05:52
13,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"USAF
NASA
NOAA","Success
",F9 v1.1,No attempt,10 January 2015,09:47
14,Cape Canaveral,DSCOVR,570 kg,HEO,"ABS
Eutelsat","Success
",F9 v1.1,Failure,11 February 2015,23:03
15,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA (CRS),"Success
",F9 v1.1,No attempt,2 March 2015,03:50
16,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,Turkmenistan NationalSpace Agency[88],Failure,F9 v1.1,Precluded,14 April 2015,20:10
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA (CRS),"Success
",F9 v1.1,Success,27 April 2015,23:03
18,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",F9 v1.1,Failure,28 June 2015,14:21
19,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"NASA (LSP)
NOAA
CNES","Success
",F9 FT,Failure,22 December 2015,01:29
20,VAFB,Jason-3,553 kg,LEO,SES,Success,F9 v1.1,Success,17 January 2016,18:42
21,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,4 March 2016,23:35
22,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,8 April 2016,20:43
23,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",F9 FT,Failure,6 May 2016,05:21
24,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"ABS
Eutelsat","Success
",F9 FT,Success,27 May 2016,21:39
25,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,15 June 2016,14:29
26,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,18 July 2016,04:45
27,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",F9 FT,Success,14 August 2016,05:26
28,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA (CRS),"Success
",F9 FT,No attempt,14 January 2017,17:54
29,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,Success,F9 FT,Success,19 February 2017,14:39
30,KSC,EchoStar 23,"5,600 kg",GTO,SES,"Success
",F9 FT,Success,16 March 2017,06:00
31,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",F9 FT♺,No attempt,30 March 2017,22:27
32,KSC,NROL-76,C,LEO,Inmarsat,"Success
",F9 FT,Success,1 May 2017,11:15
33,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,15 May 2017,23:21
34,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",F9 FT,Success,3 June 2017,21:07
35,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",F9 FTB1029.2,No attempt,23 June 2017,19:10
36,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",F9 FT,Success,25 June 2017,20:25
37,KSC,Intelsat 35e,"6,761 kg",GTO,NASA (CRS),"Success
",F9 FT,Success,5 July 2017,23:38
38,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",F9 B4,Success,14 August 2017,16:31
39,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",F9 FT,Success,24 August 2017,18:51
40,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",F9 B4,Success,7 September 2017,14:00
41,VAFB,Iridium NEXT,"9,600 kg",Polar,"SES S.A.
EchoStar","Success
",F9 B4,Success,9 October 2017,12:37
42,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
43,KSC,Koreasat 5A,"3,500 kg",GTO,NASA (CRS),Success,F9 B4,Controlled,30 October 2017,19:34
44,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,F9 FTB1035.2,Success,15 December 2017,15:36
45,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman [f][238],Success,F9 FTB1036.2,Controlled,23 December 2017,01:27
46,CCAFS,Zuma,C,LEO,SES,Success,F9 B4,No attempt,8 January 2018,01:00
47,CCAFS,GovSat-1,"4,230 kg",GTO,"Hisdesat
exactEarth
SpaceX",Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
48,VAFB,Paz,"2,150 kg",SSO,"Hispasat[277]
NovaWurks",Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
49,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,F9 B4,No attempt,6 March 2018,05:33
50,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA (CRS),Success,F9 B4B1041.2,Success,30 March 2018,14:14
51,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA (LSP),Success,F9 B4B1039.2,Success,2 April 2018,20:30
52,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia / BTRC,Success,F9 B4,No attempt,18 April 2018,22:51
53,KSC,Bangabandhu-1,"3,600 kg",GTO,"Iridium Communications
GFZ • NASA",Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
54,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,F9 B4B1043.2,No attempt,22 May 2018,19:47
55,CCAFS,SES-12,"5,384 kg",GTO,NASA (CRS),Success,F9 B4B1040.2,Success,4 June 2018,04:45
56,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,F9 B4B1045.2,Success,29 June 2018,09:42
57,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,F9 B5,Success,22 July 2018,05:50
58,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,F9 B5B1048,Success,25 July 2018,11:39
59,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,F9 B5B1046.2,Success,7 August 2018,05:18
60,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,F9 B5,Success,10 September 2018,04:45
61,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,F9 B5B1048.2,Success,8 October 2018,02:22
62,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,"Success
",F9 B5B1047.2,Failure,15 November 2018,20:46
63,VAFB,SSO-A,"~4,000 kg",SSO,NASA (CRS),Success,F9 B5B1046.3,No attempt,3 December 2018,18:34:05
64,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,"Success
",F9 B5,Success,5 December 2018,18:16
65,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",F9 B5,Success,23 December 2018,13:51
66,VAFB,Iridium NEXT,"9,600 kg",Polar,"PSN
SpaceIL / IAI
Air Force Research","Success
",F9 B5B1049.2,Success,11 January 2019,15:31
67,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA (CCD),"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
68,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA (CRS),"Success
",F9 B5[268],Success,2 March 2019,07:49
69,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 May 2019,06:48
70,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency (CSA),"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
71,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA (CRS),"Success
",F9 B5B1051.2,No attempt,12 June 2019,14:17
72,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
73,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
74,CCAFS,Starlink,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,11 November 2019,14:56
75,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSATKacific 1,"Success
",F9 B5,Success,5 December 2019,17:29
76,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3,"No attempt
",17 December 2019,00:10
77,CCAFS,Starlink,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5,Success,7 January 2020,02:19:21
78,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Failure,19 January 2020,15:30
79,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,14:07
80,CCAFS,Starlink,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5,Failure,17 February 2020,15:05
81,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
83,KSC,Starlink,"15,600 kg",LEO,NASA (CCDev),"Success
",F9 B5,Success,22 April 2020,19:30
84,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 May 2020,19:22
85,CCAFS,Starlink,"15,600 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5,Success,4 June 2020,01:25
86,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force[530],"Success
",F9 B5,Success,13 June 2020,09:21
87,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,Success,30 June 2020,20:10:46
88,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceXSpaceflight Industries (BlackSky),"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
89,KSC,Starlink,"14,932 kg",LEO,SpaceXPlanet Labs,"Success
",F9 B5,Success,7 August 2020,05:12
90,CCAFS,Starlink,"~15,440 kg",LEO,CONAEPlanetIQTyvak,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
91,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
95,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5,Success,24 October 2020,15:31:34
96,CCAFS,GPS III,"4,311 kg",MEO,NASA (CCP)[497],"Success
",F9 B5,Success,5 November 2020,23:24:23
97,KSC,Crew-1,"~12,500 kg",LEO,NASA / NOAA / ESA / EUMETSAT,"Success
",F9 B5,Success,16 November 2020,00:27
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,21 November 2020,17:17:08
99,CCAFS,Starlink,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5 ♺,Success,25 November 2020,02:13
100,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
101,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
102,KSC,NROL-108,C,LEO,Türksat,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
103,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5,Success,8 January 2021,02:15
104,KSC,Starlink,"15,600 kg",LEO,Various,"Success
",F9 B5B1051.8,Success,20 January 2021,13:02
105,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5,Failure,24 January 2021,15:00
106,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 February 2021,06:19
107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
108,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
109,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
110,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
111,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6,Success,24 March 2021,08:28
112,CCSFS,Starlink,"15,600 kg",LEO,NASA (CTS)[497],"Success
",F9 B5 ♺,Success,7 April 2021,16:34
113,KSC,Crew-2,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5B1061.2,Success,23 April 2021,9:49
114,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7,Success,29 April 2021,03:44
115,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9,Success,4 May 2021,19:01
116,CCSFS,Starlink,"15,600 kg",LEO,SpaceX Capella Space and Tyvak,"Success
",F9 B5B1051.10,Success,9 May 2021,06:42
117,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",F9 B5B1058.8,Success,15 May 2021,22:56
118,CCSFS,Starlink,"15,600 kg",LEO,NASA (CRS),"Success
",F9 B5B1063.2,Success,26 May 2021,18:59
119,KSC,SpaceX CRS-22,"3,328 kg",LEO,Sirius XM,,F9 B5B1067.1,,3 June 2021,17:29
120,CCSFS,SXM-8,"7,000 kg",GTO,,,F9 B5,,6 June 2021,04:26
121,,,,,,,,,,
